crop_key,flood_risk_1to5,drought_risk_1to5,frost_risk_1to5,weather_vulnerability_composite_1to5,disease_frequency_nepal_1to5,storage_difficulty_1to5,market_price_volatility_1to5,composite_risk_score_1to5,risk_tier,scoring_notes
tomato,4,3,2,3.0,5,4,5,3.83,High,"High flood risk (monsoon Terai/low hills); very frequent diseases (TYLCV, late blight endemic); extremely volatile Kalimati prices (85%+ swings within month)"
potato,3,2,3,2.67,5,3,4,3.33,High,Moderate flood/frost risk; late blight extremely prevalent in Nepal hills; India import dependency drives price spikes (onion-potato 2023 episode)
onion,3,3,2,2.67,3,3,5,3.17,High,Import-dependent; purple blotch frequent; price spiked 101%+ in 2023 after India export ban; very high market volatility
carrot,2,2,2,2.0,2,3,3,2.33,Moderate,Low flood risk (well-drained); moderate disease; relatively stable demand but seasonal price swings
cabbage,2,2,3,2.33,4,3,3,2.83,Moderate,Cool-season crop; clubroot and black rot frequent in hills; prices spike post-monsoon flood disruptions
cauli,2,2,3,2.33,4,5,4,3.33,High,Very perishable; black rot and DMV frequent; Kalimati data shows 73% price jump within 2 months post-flood (2024)
raddish,2,2,2,2.0,2,4,3,2.5,Moderate,Short shelf life; fewer major diseases; moderate price seasonality
brinjal,3,3,1,2.33,4,4,3,3.0,High,Bacterial wilt endemic in Terai; fruit borer very frequent; prices 29% swing within days per Kalimati 2025 data
cow_pea,3,2,1,2.0,3,4,3,2.67,Moderate,Terai flood exposure; mosaic virus moderate; 40% price drop documented in single Kalimati session
peas,2,2,3,2.33,3,4,3,2.83,Moderate,Frost tolerant; powdery mildew and fusarium wilt frequent; seasonal price spikes noted in CSISA reports
bean,2,2,2,2.0,3,4,3,2.67,Moderate,BCMV and anthracnose moderate frequency; French beans 53-61% price swings per Kalimati 2025 data
soyabean,3,2,1,2.0,3,2,2,2.17,Moderate,Established monsoon crop; rust periodic; dry grain long shelf life stabilises market
bitter_gourd,3,2,1,2.0,3,4,3,2.67,Moderate,Monsoon crop; powdery mildew common; fruit fly consistent pressure; moderate price swings
bottle_gourd,3,2,1,2.0,3,4,2,2.5,Moderate,Monsoon crop; moderate disease; 44% price drop observed at Kalimati 2025
pointed_gourd,3,2,1,2.0,3,4,2,2.5,Moderate,Low altitude Terai; fruit fly consistent; rhizomatous so moderate flood recovery
snake_gourd,3,2,1,2.0,3,5,3,2.83,Moderate,Highly perishable; monsoon crop; 44% Kalimati price swing documented
smooth_gourd,3,2,1,2.0,3,5,3,2.83,Moderate,Very perishable; similar volatility profile to snake gourd; moderate disease
sponge_gourd,3,2,1,2.0,3,5,3,2.83,Moderate,Very perishable; similar profile to smooth gourd; CMV periodic
pumpkin,3,2,1,2.0,3,2,2,2.17,Moderate,Good shelf life when mature; moderate disease; prices relatively stable; carrots/pumpkins more affordable per CSISA July 2024
squash,2,2,2,2.0,3,3,2,2.33,Moderate,Similar to pumpkin for winter varieties; summer squash perishable
turnip,2,2,3,2.33,2,3,2,2.33,Moderate,Cool-season; few major diseases; stable demand; good cellar storage
okara,3,3,1,2.33,3,5,3,3.0,High,YVMV endemic in Nepal lowlands; very perishable; price spikes noted in monsoon supply disruption
christophine,2,2,2,2.0,2,3,2,2.17,Moderate,Perennial vine; moderate disease; good local demand; relatively stable pricing
brd_leaf_mustard,2,2,2,2.0,3,5,3,2.83,Moderate,Very perishable leaf; white rust and alternaria blight frequent in Nepal winters; moderate price swings
spinach_leaf,2,2,2,2.0,3,5,3,2.83,Moderate,Very perishable; downy mildew common; moderate seasonal price variation
cress_leaf,2,2,2,2.0,2,5,3,2.67,Moderate,Very perishable; few major diseases; niche market — limited volatility data
mustard_leaf,2,2,2,2.0,3,5,3,2.83,Moderate,Very perishable; alternaria blight common in Nepal winters; moderate price swing
fenugreek_leaf,2,2,2,2.0,3,5,3,2.83,Moderate,Very perishable leaf; powdery mildew occasional; moderate price variation
mushroom,1,1,1,1.0,4,5,3,2.5,Moderate,Controlled environment; Trichoderma contamination frequent in Nepal production units; very perishable; prices moderately stable
asparagus,2,2,3,2.33,3,5,3,3.0,High,Cool hills; asparagus rust occasional; very perishable (spears); limited market depth → moderate volatility
neuro,2,1,2,1.67,1,5,2,2.17,Moderate,Wild/semi-cultivated; minimal disease; highly perishable fresh; fermented form stable
brocauli,2,2,3,2.33,4,5,4,3.33,High,Very perishable; black rot frequent; Kathmandu market prices spike 4x in off-season (winter tunnel premium)
sugarbeet,3,2,2,2.33,3,2,2,2.33,Moderate,Limited Nepal data; cercospora leaf spot moderate; processed immediately so fresh storage not issue
drumstick,2,1,1,1.33,2,4,2,2.0,Low,Drought-hardy tree; few diseases; perishable pods but dried leaves stable; prices relatively stable
lettuce,2,2,2,2.0,3,5,3,2.83,Moderate,Very perishable; downy mildew common in Nepal valleys; niche high-value market — moderate volatility
celery,2,2,2,2.0,3,4,3,2.67,Moderate,Moderate diseases; 4-week shelf life; niche demand; moderate price variation
