crop_key,Crop Name (Common/Nepali),Planting Seasons (Nepali Months),Growth Duration (Weeks),Typical Harvest Months (Nepali),Required Altitude Range (masl),Water Requirement,Typical Disease Vulnerabilities,Storage Shelf Life (Days)
tomato,Tomato (Golbheda),"Falgun–Chaitra, Baisakh, Ashoj–Kartik",10–14,Poush–Falgun (Hiude); Shrawan–Ashwin (Garmi),60–1500,Medium,Tomato yellow leaf curl virus (TYLCV); early blight (Alternaria solani); late blight (Phytophthora infestans); bacterial wilt (Ralstonia solanacearum); fusarium wilt; fruit borer (Helicoverpa armigera),5–7 (fresh/ambient); 14–21 (cool chain)
potato,Potato (Alu),"Ashoj–Mangsir, Falgun–Chaitra",12–16,Magh–Falgun (main); Jestha–Ashadh (Garmi),500–3500,Medium,Late blight (Phytophthora infestans); early blight (Alternaria solani); bacterial wilt; PVX and PVY viruses; common scab (Streptomyces scabiei); black leg (Pectobacterium atrosepticum),30–60 (fresh); 180+ (cool/dark storage)
onion,Onion (Pyaj),Kartik–Poush,18–22,Baisakh–Jestha (Hiude); Bhadra–Ashwin (Barkha),60–1500,Low–Medium,Purple blotch (Alternaria porri); stemphylium blight; downy mildew (Peronospora destructor); fusarium basal rot; thrips (Thrips tabaci),60–90 (cured); 14–30 (uncured)
carrot,Carrot (Gajar),Shrawan–Kartik,10–14,Magh–Falgun (hills); Ashwin–Kartik (high hills),500–2500,Medium,Alternaria leaf blight; cavity spot (Pythium spp.); aster yellows (phytoplasma); carrot fly (Psila rosae); powdery mildew,14–21 (fresh); 60–90 (cool/sand storage)
cabbage,Cabbage (Banda Gobi),Ashadh–Ashoj,12–16,Poush–Chaitra,500–2500,Medium,Black rot (Xanthomonas campestris); clubroot (Plasmodiophora brassicae); fusarium yellows; downy mildew; diamondback moth (Plutella xylostella); soft rot (Erwinia carotovora),7–14 (fresh); 30–60 (cool storage)
cauli,Cauliflower (Kauli),Ashadh–Ashoj,10–14,Poush–Chaitra,500–2500,Medium,Downy mildew (Peronospora parasitica); black rot; Alternaria leaf spot; clubroot; whiptail (molybdenum deficiency); diamondback moth,3–5 (fresh/ambient); 14–21 (refrigerated)
raddish,Radish (Mula),"Shrawan–Kartik, Falgun–Chaitra",6–8,Poush–Magh (Hiude); Ashwin (Garmi),500–3000,Medium,Alternaria leaf spot; damping off; clubroot; root maggot (Delia radicum); mosaic virus,5–7 (fresh); 14–30 (cool/damp cellar)
brinjal,Brinjal / Eggplant (Bhanta),Falgun–Jestha,12–16,Ashadh–Kartik,60–1200,Medium,Bacterial wilt; Phomopsis blight (Phomopsis vexans); little leaf phytoplasma; fruit and shoot borer (Leucinodes orbonalis); damping off; cercospora leaf spot,5–7 (fresh/ambient)
cow_pea,Cowpea (Bodi),Chaitra–Ashadh,10–12,Ashadh–Shrawan,60–1500,Low–Medium,Cowpea mosaic virus; bacterial blight (Xanthomonas vignicola); fusarium wilt; cercospora leaf spot; pod borer (Maruca vitrata),365+ (dry grain); 3–5 (fresh pods)
peas,Peas (Kerau),Ashoj–Mangsir,10–14,Poush–Magh (Terai); Shrawan–Bhadra (high hills),500–3000,Low–Medium,Powdery mildew (Erysiphe pisi); downy mildew (Peronospora viciae); fusarium wilt; pea enation mosaic virus; leaf spot (Ascochyta pisi),365+ (dry grain); 3–5 (fresh pods)
bean,French Bean / Common Bean (Simi),Falgun–Ashadh,8–10,Ashadh–Shrawan (Garmi); Poush–Magh (Hiude),500–2200,Medium,Bean mosaic virus (BCMV); angular leaf spot (Phaeoisariopsis griseola); anthracnose (Colletotrichum lindemuthianum); rust (Uromyces appendiculatus); root rot,365+ (dry grain); 5–7 (fresh pods)
soyabean,Soybean (Bhatmas),Jestha–Shrawan,14–18,Ashwin–Kartik,60–2000,Medium,Soybean rust (Phakopsora pachyrhizi); bacterial pustule (Xanthomonas axonopodis); charcoal rot (Macrophomina phaseolina); pod and stem blight; soybean mosaic virus,365+ (dry grain); risk of aflatoxin if stored >14% moisture
bitter_gourd,Bitter Gourd (Karela),Chaitra–Jestha,10–12,Ashadh–Bhadra,60–1000,Medium–High,Powdery mildew (Sphaerotheca fuliginea); downy mildew; CMV; ZYMV; fruit fly (Bactrocera cucurbitae); fusarium wilt,5–7 (fresh/ambient)
bottle_gourd,Bottle Gourd (Lauka),Chaitra–Jestha,10–12,Ashadh–Bhadra,60–1200,Medium–High,Powdery mildew; downy mildew; CMV; Phytophthora crown rot; fruit fly; whitefly-vectored viruses,5–7 (fresh); 30–60 (mature dry shell)
pointed_gourd,Pointed Gourd (Parwar),Falgun–Baisakh,16–20 (vine; perennial),Ashadh–Bhadra,60–600,Medium,Powdery mildew; mosaic virus; fruit fly; red pumpkin beetle (Aulacophora foveicollis),5–7 (fresh)
snake_gourd,Snake Gourd (Chichinda),Chaitra–Jestha,10–12,Ashadh–Bhadra,60–1000,High,Powdery mildew; CMV; fruit fly; red pumpkin beetle; leaf spot,3–5 (fresh/ambient)
smooth_gourd,Smooth Gourd / Ridge Gourd (Ghiraula),Chaitra–Jestha,10–12,Ashadh–Bhadra,60–1200,Medium–High,Powdery mildew; CMV; ZYMV; fruit fly; downy mildew,3–5 (fresh/ambient)
sponge_gourd,Sponge Gourd (Sponge Tori),Chaitra–Jestha,10–12,Ashadh–Bhadra,60–1000,Medium–High,Powdery mildew; downy mildew; CMV; fruit fly; red pumpkin beetle,3–5 (fresh/ambient)
pumpkin,Pumpkin (Pharsi),Falgun–Jestha,10–14,Ashadh–Ashwin,60–2000,Medium,Powdery mildew; CMV; ZYMV; Phytophthora fruit rot; aphids; red pumpkin beetle,30–90 (mature/cured whole fruit); 5–7 (cut)
squash,Squash (Pharsi / Kankro),Chaitra–Jestha,8–12,Ashadh–Ashwin,500–2500,Medium,Powdery mildew; CMV; Phytophthora crown rot; squash mosaic virus; aphids,7–14 (Garmi squash/fresh); 60–90 (Hiude squash/cured)
turnip,Turnip (Salgam),Shrawan–Kartik,8–10,Poush–Magh,500–2500,Medium,Alternaria leaf spot; black rot; clubroot; root maggot; aphids; turnip mosaic virus,7–14 (fresh); 30–60 (cool cellar)
okara,Okra / Lady's Finger (Bhindi),Chaitra–Ashadh,8–10,Ashadh–Bhadra (main); Kartik (Hiude),60–900,Medium–High,Yellow vein mosaic virus (YVMV); powdery mildew; cercospora leaf spot; fusarium wilt; fruit borer (Earias vittella),3–5 (fresh pods)
christophine,Christophine / Chayote (Iskus),Chaitra–Jestha,24–28 (first season; perennial thereafter),Ashwin–Mangsir,500–2000,Medium,Phytophthora root rot; powdery mildew; cucumber mosaic virus; fruit fly,7–14 (fresh fruit)
brd_leaf_mustard,Broad Leaf Mustard (Rayo Saag),Bhadra–Kartik,6–8,Mangsir–Poush,500–2500,Low–Medium,Alternaria blight (Alternaria brassicae); white rust (Albugo candida); aphids; diamondback moth; downy mildew,3–5 (fresh leaf); 7–10 (refrigerated)
spinach_leaf,Spinach (Palungo),"Bhadra–Kartik, Magh–Falgun",6–8,Mangsir–Poush (Hiude); Baisakh (Garmi),500–3000,Medium,Downy mildew (Peronospora farinosa); cercospora leaf spot; damping off; white rust; leaf miner,3–5 (fresh); 7–10 (refrigerated/bunched)
cress_leaf,Garden Cress / Cress (Chamsur),"Bhadra–Kartik, Magh–Falgun",4–6,Mangsir–Poush,500–2500,Medium,Downy mildew; white rust; aphids; flea beetle,3–5 (fresh); 7 (refrigerated)
mustard_leaf,Mustard Leaf (Tori ko Saag),Bhadra–Kartik,5–7,Mangsir–Poush,60–2000,Low,Alternaria blight; white rust; aphids; diamondback moth; downy mildew,3–5 (fresh); 7 (refrigerated)
fenugreek_leaf,Fenugreek Leaf (Methi),"Bhadra–Kartik, Magh–Falgun",4–6,Mangsir–Poush,60–1500,Low–Medium,Powdery mildew; cercospora leaf spot; damping off; root rot (Fusarium spp.); aphids,3–5 (fresh); 7 (refrigerated); 365+ (dry seed)
mushroom,Button Mushroom / Oyster Mushroom (Chyau),Year-round,4–8 (flush cycle; substrate-dependent),Year-round (controlled environment),700–2500 (production facilities),Low (controlled humidity),Green mould (Trichoderma spp.); wet bubble (Lecanicillium fungicola); dry bubble; cobweb disease (Cladobotryum mycophilum); bacterial blotch (Pseudomonas tolaasii),1–3 (fresh); 7–10 (refrigerated/packaged)
asparagus,Asparagus (Kurilo),Falgun–Baisakh,104–130 (2–3 yrs to first harvest; perennial),Falgun–Baisakh (annual spear harvest),500–2000,Medium,Asparagus rust (Puccinia asparagi); fusarium crown rot (Fusarium oxysporum f. sp. asparagi); Phytophthora crown rot; asparagus beetle (Crioceris spp.),2–3 (fresh spears); 7–10 (refrigerated)
neuro,Fiddlehead Fern / Niguro (Neuro/Dhekia),Ashadh–Bhadra,Perennial (frond harvest annually),Baisakh–Jestha,500–2500,High (moist forest/shade),Relatively few serious crop diseases; fungal leaf spots in dense plantings; slug damage,2–3 (fresh fronds); 5–7 (refrigerated); fermented/dried 180+
brocauli,Broccoli (Harit Gobi),Ashadh–Ashoj,10–14,Poush–Magh,500–2500,Medium,Downy mildew; black rot; Alternaria leaf spot; clubroot; diamondback moth; whitefly,3–5 (fresh/ambient); 14–21 (refrigerated)
sugarbeet,Sugar Beet (Chini Ganna Jara),Ashoj–Mangsir,20–24,Baisakh–Jestha,60–1000,Medium,Cercospora leaf spot (Cercospora beticola); powdery mildew; fusarium root rot; rhizomania (beet necrotic yellow vein virus); aphids; beet leaf miner,Processed within days of harvest (sugar extraction); 30–60 (root in cool/damp)
drumstick,Drumstick / Moringa (Sajjan / Shobhanjan),Falgun–Baisakh,52–78 (tree; cutting to first pod 6–8 months),Ashadh–Ashwin (pods); year-round (leaves),60–1000,Low,Powdery mildew; dieback/stem canker (Fusarium spp.); root rot in waterlogged soil; leaf caterpillars; bud worm,3–5 (fresh pods); 2–3 (fresh leaves); 7–10 (pods refrigerated); dried leaves 180+
lettuce,Lettuce (Salad Patta),"Bhadra–Kartik, Magh–Falgun",6–8,Mangsir–Poush (Hiude); Baisakh (Garmi),500–2500,Medium,Bottom rot (Rhizoctonia solani); downy mildew (Bremia lactucae); tipburn (calcium deficiency); lettuce mosaic virus; aphids; slugs,2–3 (fresh/ambient); 7–14 (refrigerated with humidity)
celery,Celery (Ajwain ko Saag),Bhadra–Kartik,14–16,Falgun–Chaitra,500–2000,High,Early blight (Septoria apiicola); fusarium yellows; bacterial leaf spot; root knot nematode; aphids; leaf miner,3–5 (fresh); 14–21 (refrigerated)
parseley,Parsley (Parsley / Sag Jati),"Bhadra–Kartik, Magh–Falgun",10–12,Poush–Magh,500–2000,Medium,Septoria leaf spot (Septoria petroselini); powdery mildew; root rot; carrot fly; aphids,3–5 (fresh); 7–10 (refrigerated); dried 180+
fennel_leaf,Fennel Leaf (Saunf ko Paat),Bhadra–Kartik,8–10,Poush–Falgun,500–2000,Low–Medium,Powdery mildew; cercospora leaf spot; damping off; aphids; root rot,3–5 (fresh leaf); 7 (refrigerated)
